id,title,description,category,resolution,priority
TKT-0506,User kmiller needs access to Github repo...,User kmiller needs access to Github repository. Need assistance.,Access Management,Add asmith to the 'Developers' GitHub organization group with write permissions. Please fix ASAP.,Critical
TKT-0507,Payment form throwing 'Invalid T...,Urgent: Payment form throwing 'Invalid Token' upon submission.,Application,Urgent: Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0508,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access. Please fix ASAP.,Access Management,Provision a standard license for jdoe and assign to the Contractor user-tier.,Medium
TKT-0509,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Issue: Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0510,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500. Happens intermittently.,Low
TKT-0511,Server db-prod-2 keeps crashing with out...,Server db-prod-2 keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to web-prod-1 by 16GB and restart daemon. Please fix ASAP.,Critical
TKT-0512,Server analytics-node keeps crashi...,Help: Server analytics-node keeps crashing with out of memory exception.,Infrastructure,[Ticket] Increase RAM allocation to db-prod-2 by 16GB and restart daemon.,High
TKT-0513,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Issue: Block IP range temporarily in WAF and force password reset for user rjohnson.,High
TKT-0514,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours. Need assistance.,High
TKT-0515,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Urgent: Enable AES256 server-side encryption via AWS console policies.,Medium
TKT-0516,VPN connection failing for remote ...,Help: VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0517,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0518,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions. This is blocking us.,High
TKT-0519,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Urgent: Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0520,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Error: Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0521,App crashes when uploading files l...,Help: App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M.,Critical
TKT-0522,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network. Please fix ASAP.,Network,Issue: Identify top bandwidth hogging devices and apply QoS rate limiting.,Critical
TKT-0523,Database connection pool timeout c...,Help: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Medium
TKT-0524,Kubernetes pod stuck in crash loop...,Help: Kubernetes pod stuck in crash loop backoff. This is blocking us.,Infrastructure,Urgent: Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0525,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Urgent: Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0526,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Issue: Rollback the last hotfix release v1.3.2 and check application load balancer endpoints.,Critical
TKT-0527,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,High
TKT-0528,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Execute offboarding script to disable AD, email, and internal VPN accounts. Happens intermittently.",High
TKT-0529,Malware detected on workstation ...,Urgent: Malware detected on workstation LAPTOP-72A.,Security,"Isolate MAC-DESIGN-8 from the network, run deep antivirus scan, and reinstall OS if needed.",Critical
TKT-0530,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0531,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository. Need assistance.,Access Management,Help: Add rjohnson to the 'Developers' GitHub organization group with write permissions.,High
TKT-0532,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,High
TKT-0533,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies. Please fix ASAP.,Critical
TKT-0534,Password reset requested for executive a...,Password reset requested for executive account. Happens intermittently.,Access Management,Verify identity via phone callback and issue temporary secure password link.,High
TKT-0535,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours.,Low
TKT-0536,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local. Please fix ASAP.,Network,Error: Flush DNS cache locally and re-sync internal records on Active Directory.,Critical
TKT-0537,Error: Unencrypted S3 bucket alert. Need...,Error: Unencrypted S3 bucket alert. Need assistance.,Security,Enable AES256 server-side encryption via AWS console policies.,High
TKT-0538,The Customer Portal module is returning ...,The Customer Portal module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,High
TKT-0539,Unencrypted S3 bucket alert.,Urgent: Unencrypted S3 bucket alert.,Security,Issue: Enable AES256 server-side encryption via AWS console policies.,High
TKT-0540,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Low
TKT-0541,Index fragmentation leading to slo...,Help: Index fragmentation leading to slow SELECT performance. Need assistance.,Database,Run REINDEX TABLE manually during off-peak hours. This is blocking us.,Critical
TKT-0542,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0543,Missing permissions to deploy to p...,Help: Missing permissions to deploy to production AWS account.,Access Management,Issue: Assign IAM role 'Prod-Deployer' temporarily for 24 hours to kmiller.,Medium
TKT-0544,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Low
TKT-0545,Password reset requested for executive a...,Password reset requested for executive account. Please fix ASAP.,Access Management,[Ticket] Verify identity via phone callback and issue temporary secure password link.,High
TKT-0546,Deployment pipeline failing for ...,Urgent: Deployment pipeline failing for HR Dashboard on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline. Happens intermittently.,Critical
TKT-0547,Malware detected on workstation WS-ENGIN...,Malware detected on workstation WS-ENGINEERING-1.,Security,"Help: Isolate DESKTOP-99B from the network, run deep antivirus scan, and reinstall OS if needed.",Medium
TKT-0548,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours.,Low
TKT-0549,Contractor rjohnson requires Jira access...,Contractor rjohnson requires Jira access.,Access Management,Provision a standard license for asmith and assign to the Contractor user-tier.,High
TKT-0550,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0551,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari. Please fix ASAP.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,Medium
TKT-0552,[Ticket] DNS resolution failing for inte...,[Ticket] DNS resolution failing for internal domain intranet.internal.,Network,Urgent: Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0553,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection.,Security,Help: Sanitize input parameters immediately via parameterized queries update. Please fix ASAP.,Critical
TKT-0554,Unencrypted S3 bucket alert. Happe...,Help: Unencrypted S3 bucket alert. Happens intermittently.,Security,Enable AES256 server-side encryption via AWS console policies.,Medium
TKT-0555,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 1087 mapping to the slow query and route analytics to the read replica.,Medium
TKT-0556,Unencrypted S3 bucket alert. This ...,Help: Unencrypted S3 bucket alert. This is blocking us.,Security,Enable AES256 server-side encryption via AWS console policies. Need assistance.,Medium
TKT-0557,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Issue: Refactor the commit ordering sequence in the backend ORM mapped models.,Medium
TKT-0558,Database connection pool timeout causing...,Database connection pool timeout causing slow loading. Happens intermittently.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Low
TKT-0559,The Mobile Gateway module is returning b...,The Mobile Gateway module is returning blank pages intermittently.,Application,Issue: Restart the node backend processes processing frontend API calls.,Medium
TKT-0560,Error: High CPU utilization warning on m...,Error: High CPU utilization warning on main compute cluster.,Infrastructure,Error: Scale out autoscaling group parameters locally and monitor graph drops.,Low
TKT-0561,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch. Please fix ASAP.,Critical
TKT-0562,Disk space alert on production VM.,Help: Disk space alert on production VM.,Infrastructure,Urgent: Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0563,The Mobile Gateway module is returning b...,The Mobile Gateway module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls. Need assistance.,Critical
TKT-0564,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Medium
TKT-0565,Server web-prod-1 keeps crashing with ou...,Server web-prod-1 keeps crashing with out of memory exception. Need assistance.,Infrastructure,[Ticket] Increase RAM allocation to web-prod-1 by 16GB and restart daemon.,Critical
TKT-0566,Error: Database connection pool timeout ...,Error: Database connection pool timeout causing slow loading. This is blocking us.,Database,[Ticket] Increase PostgreSQL max_connections setting from 100 to 500. This is blocking us.,Critical
TKT-0567,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Low
TKT-0568,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Medium
TKT-0569,Error: Deadlock detected between transac...,Error: Deadlock detected between transaction engines. Happens intermittently.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Medium
TKT-0570,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Critical
TKT-0571,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Help: Identify top bandwidth hogging devices and apply QoS rate limiting.,High
TKT-0572,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,Critical
TKT-0573,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0574,The Customer Portal module is returning ...,The Customer Portal module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,Critical
TKT-0575,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network. This is blocking us.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Low
TKT-0576,Issue: BGP route flapping on the outboun...,Issue: BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Critical
TKT-0577,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory. Need assistance.,Critical
TKT-0578,Database backup failed last nigh...,Urgent: Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot. Need assistance.,Critical
TKT-0579,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository. This is blocking us.,Access Management,Help: Add rjohnson to the 'Developers' GitHub organization group with write permissions.,Critical
TKT-0580,Server cache-server-01 keeps crashing wi...,Server cache-server-01 keeps crashing with out of memory exception. Please fix ASAP.,Infrastructure,Increase RAM allocation to db-prod-2 by 16GB and restart daemon. Happens intermittently.,Critical
TKT-0581,VPN connection failing for remote ...,Help: VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions. Happens intermittently.,High
TKT-0582,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Low
TKT-0583,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting. Happens intermittently.,Medium
TKT-0584,DNS resolution failing for inter...,Urgent: DNS resolution failing for internal domain dev.staging.,Network,Help: Flush DNS cache locally and re-sync internal records on Active Directory. Happens intermittently.,High
TKT-0585,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,High
TKT-0586,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 2167 mapping to the slow query and route analytics to the read replica.,High
TKT-0587,API endpoint vulnerable to SQL I...,Urgent: API endpoint vulnerable to SQL Injection.,Security,[Ticket] Sanitize input parameters immediately via parameterized queries update.,High
TKT-0588,Deployment pipeline failing for HR Dashb...,Deployment pipeline failing for HR Dashboard on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline. Need assistance.,Critical
TKT-0589,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies.,High
TKT-0590,[Ticket] Vulnerability scan flagged outd...,[Ticket] Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,High
TKT-0591,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office. This is blocking us.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0592,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository.,Access Management,Add rjohnson to the 'Developers' GitHub organization group with write permissions. Need assistance.,Medium
TKT-0593,Missing permissions to deploy to...,Urgent: Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to asmith.,Critical
TKT-0594,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account. Happens intermittently.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to kmiller.,High
TKT-0595,Contractor kmiller requires Jira access.,Contractor kmiller requires Jira access.,Access Management,Provision a standard license for jdoe and assign to the Contractor user-tier. Please fix ASAP.,Medium
TKT-0596,Error: Users reporting 500 internal serv...,Error: Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v3.3.6 and check application load balancer endpoints. Happens intermittently.,Medium
TKT-0597,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M. Need assistance.,Critical
TKT-0598,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,Urgent: Update the frontend JS polyfills supporting legacy Safari engine.,Critical
TKT-0599,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Issue: Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams. Please fix ASAP.,High
TKT-0600,Long running analytical queries ...,Urgent: Long running analytical queries blocking OLTP transactions. This is blocking us.,Database,Kill PID 4526 mapping to the slow query and route analytics to the read replica.,High
TKT-0601,Unencrypted S3 bucket alert. Need assist...,Unencrypted S3 bucket alert. Need assistance.,Security,Enable AES256 server-side encryption via AWS console policies.,Low
TKT-0602,Database connection pool timeout...,Urgent: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500. This is blocking us.,High
TKT-0603,Error: VPN connection failing for remote...,Error: VPN connection failing for remote users in branch office. Happens intermittently.,Network,Help: Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0604,The Inventory System module is returning...,The Inventory System module is returning blank pages intermittently. This is blocking us.,Application,Restart the node backend processes processing frontend API calls. Happens intermittently.,High
TKT-0605,The Inventory System module is returning...,The Inventory System module is returning blank pages intermittently. Happens intermittently.,Application,Restart the node backend processes processing frontend API calls.,Critical
TKT-0606,Server cache-server-01 keeps crash...,Help: Server cache-server-01 keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to db-prod-2 by 16GB and restart daemon.,Critical
TKT-0607,Disk space alert on production VM. This ...,Disk space alert on production VM. This is blocking us.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0608,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0609,Vulnerability scan flagged outdate...,Help: Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,High
TKT-0610,Deployment pipeline failing for Billing ...,Deployment pipeline failing for Billing API on EC2 instances.,Infrastructure,Issue: Clear IAM cache on the runner and restart the Jenkins pipeline. Please fix ASAP.,Critical
TKT-0611,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection. Need assistance.,Security,Sanitize input parameters immediately via parameterized queries update.,Critical
TKT-0612,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,High
TKT-0613,User rjohnson needs access to Github rep...,User rjohnson needs access to Github repository. Please fix ASAP.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions. Need assistance.,Critical
TKT-0614,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0615,Error: Disk space alert on production VM...,Error: Disk space alert on production VM. This is blocking us.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script. Need assistance.,High
TKT-0616,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Issue: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0617,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops. This is blocking us.,High
TKT-0618,Packet loss spikes detected between core...,Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs.,Low
TKT-0619,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to asmith.,Critical
TKT-0620,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository.,Access Management,Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0621,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0622,Disk space alert on production VM. Need ...,Disk space alert on production VM. Need assistance.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Low
TKT-0623,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 2469 mapping to the slow query and route analytics to the read replica.,Low
TKT-0624,Packet loss spikes detected between core...,Packet loss spikes detected between core switches. Please fix ASAP.,Network,Check physical fiber connections and spanning tree protocol logs.,Low
TKT-0625,Password reset requested for executive a...,Password reset requested for executive account. Please fix ASAP.,Access Management,Verify identity via phone callback and issue temporary secure password link.,Low
TKT-0626,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access.,Access Management,Urgent: Provision a standard license for kmiller and assign to the Contractor user-tier. This is blocking us.,Medium
TKT-0627,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0628,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Error: Identify top bandwidth hogging devices and apply QoS rate limiting.,Low
TKT-0629,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Error: Contact ISP to verify ASN route advertisement stability policies.,High
TKT-0630,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0631,API endpoint vulnerable to SQL I...,Urgent: API endpoint vulnerable to SQL Injection.,Security,Sanitize input parameters immediately via parameterized queries update.,Low
TKT-0632,Database backup failed last nigh...,Urgent: Database backup failed last night.,Database,Help: Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0633,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection.,Security,Sanitize input parameters immediately via parameterized queries update.,High
TKT-0634,Database backup failed last night. Pleas...,Database backup failed last night. Please fix ASAP.,Database,Urgent: Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0635,The Billing API module is returning blan...,The Billing API module is returning blank pages intermittently. Need assistance.,Application,Restart the node backend processes processing frontend API calls.,Low
TKT-0636,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Urgent: Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0637,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies. Please fix ASAP.,High
TKT-0638,Issue: Index fragmentation leading to sl...,Issue: Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours.,Critical
TKT-0639,"Employee left company, please revoke per...","Employee left company, please revoke permissions.",Access Management,"Execute offboarding script to disable AD, email, and internal VPN accounts. Need assistance.",Medium
TKT-0640,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Help: Run REINDEX TABLE manually during off-peak hours. Need assistance.,Medium
TKT-0641,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0642,Database backup failed last night.,Help: Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0643,Error: Database connection pool timeout ...,Error: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Medium
TKT-0644,Issue: Database backup failed last night...,Issue: Database backup failed last night.,Database,Help: Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0645,BGP route flapping on the outbou...,Urgent: BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Medium
TKT-0646,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Error: Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0647,Error: Long running analytical queries b...,Error: Long running analytical queries blocking OLTP transactions. Please fix ASAP.,Database,Kill PID 5869 mapping to the slow query and route analytics to the read replica.,High
TKT-0648,Server db-prod-2 keeps crashing with out...,Server db-prod-2 keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to analytics-node by 16GB and restart daemon. Please fix ASAP.,Critical
TKT-0649,Slow internet speeds reported ac...,Urgent: Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Medium
TKT-0650,Error: Deployment pipeline failing for M...,Error: Deployment pipeline failing for Mobile Gateway on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0651,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours.,Critical
TKT-0652,[Ticket] Slow internet speeds reported a...,[Ticket] Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,High
TKT-0653,Error: Vulnerability scan flagged outdat...,Error: Vulnerability scan flagged outdated OpenSSL library.,Security,Issue: Patch the OS images across the fleet to the latest LTS security patch. Happens intermittently.,High
TKT-0654,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0655,Malware detected on workstation LAPTOP-7...,Malware detected on workstation LAPTOP-72A.,Security,"Help: Isolate MAC-DESIGN-8 from the network, run deep antivirus scan, and reinstall OS if needed.",Low
TKT-0656,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0657,Server analytics-node keeps crashing wit...,Server analytics-node keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to web-prod-1 by 16GB and restart daemon.,High
TKT-0658,[Ticket] Malware detected on workstation...,[Ticket] Malware detected on workstation MAC-DESIGN-8.,Security,"Error: Isolate WS-ENGINEERING-1 from the network, run deep antivirus scan, and reinstall OS if needed.",Medium
TKT-0659,Login button is unresponsive on ...,Urgent: Login button is unresponsive on mobile Safari.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,High
TKT-0660,[Ticket] Disk space alert on production ...,[Ticket] Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0661,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Rollback the last hotfix release v2.2.6 and check application load balancer endpoints.,Low
TKT-0662,Contractor asmith requires Jira access.,Contractor asmith requires Jira access.,Access Management,Provision a standard license for rjohnson and assign to the Contractor user-tier.,Low
TKT-0663,Database backup failed last night.,Database backup failed last night.,Database,Issue: Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0664,Error: Detected suspicious login attempt...,Error: Detected suspicious login attempt from external IP block.,Security,Urgent: Block IP range temporarily in WAF and force password reset for user kmiller.,Low
TKT-0665,Detected suspicious login attempt ...,Help: Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user bwilliams.,Critical
TKT-0666,Issue: Kubernetes pod stuck in crash loo...,Issue: Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,High
TKT-0667,Malware detected on workstation LAPTOP-7...,Malware detected on workstation LAPTOP-72A.,Security,"Isolate WS-ENGINEERING-1 from the network, run deep antivirus scan, and reinstall OS if needed.",Critical
TKT-0668,DNS resolution failing for internal doma...,DNS resolution failing for internal domain intranet.internal. Please fix ASAP.,Network,Urgent: Flush DNS cache locally and re-sync internal records on Active Directory.,Critical
TKT-0669,DNS resolution failing for internal doma...,DNS resolution failing for internal domain intranet.internal.,Network,Help: Flush DNS cache locally and re-sync internal records on Active Directory.,Critical
TKT-0670,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user jdoe. Please fix ASAP.,High
TKT-0671,Unencrypted S3 bucket alert. Need assist...,Unencrypted S3 bucket alert. Need assistance.,Security,Enable AES256 server-side encryption via AWS console policies.,Critical
TKT-0672,Deadlock detected between transaction en...,Deadlock detected between transaction engines. This is blocking us.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0673,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection.,Security,Sanitize input parameters immediately via parameterized queries update.,Low
TKT-0674,Database backup failed last night.,Database backup failed last night.,Database,Issue: Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0675,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache. Happens intermittently.,Critical
TKT-0676,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Enable AES256 server-side encryption via AWS console policies.,Low
TKT-0677,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Low
TKT-0678,Contractor bwilliams requires Jira acces...,Contractor bwilliams requires Jira access.,Access Management,Provision a standard license for asmith and assign to the Contractor user-tier.,Critical
TKT-0679,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M.,Critical
TKT-0680,Error: Packet loss spikes detected betwe...,Error: Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs. This is blocking us.,Medium
TKT-0681,[Ticket] Slow internet speeds reported a...,[Ticket] Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Critical
